Ambulance_ID,Algorithm,Travel_Time,Computation_Time,ACO_Time_Overhead
a1,Dijkstra,128.0,0.0012328624725341797,0
a2,Dijkstra,131.0,0.0018000602722167969,0
a3,Dijkstra,126.0,0.0012998580932617188,0
a4,Dijkstra,134.0,0.0017118453979492188,0
a5,Dijkstra,196.0,0.002790212631225586,0
a6,Dijkstra,200.0,0.0021119117736816406,0
a7,Dijkstra,201.0,0.0022711753845214844,0
a8,Dijkstra,238.0,0.0029649734497070312,0
a1,A* Real Time,128.0,0.12156414985656738,0
a2,A* Real Time,133.0,0.1732339859008789,0
a3,A* Real Time,128.0,0.15403103828430176,0
a4,A* Real Time,134.0,0.1715378761291504,0
a5,A* Real Time,171.0,0.29268980026245117,0
a6,A* Real Time,171.0,0.22403717041015625,0
a7,A* Real Time,181.0,0.2313060760498047,0
a8,A* Real Time,203.0,0.33647799491882324,0
a1,A* Euclidean,124.0,0.00040984153747558594,0
a2,A* Euclidean,128.0,0.0003910064697265625,0
a3,A* Euclidean,128.0,0.000370025634765625,0
a4,A* Euclidean,151.0,0.0004601478576660156,0
a5,A* Euclidean,192.0,0.00047326087951660156,0
a6,A* Euclidean,168.0,0.00042819976806640625,0
a7,A* Euclidean,485.0,0.0007559921264648438,0
a8,A* Euclidean,191.0,0.0005412101745605469,0
a1,A* ACO,128.0,0.13268494606018066,304.1461110115051
a2,A* ACO,131.0,0.15692782402038574,275.38934087753296
a3,A* ACO,126.0,0.1425790786743164,264.71066522598267
a4,A* ACO,134.0,0.1777811050415039,276.67985582351685
a5,A* ACO,182.0,0.3103618621826172,284.62887167930603
a6,A* ACO,195.0,0.22585511207580566,299.81524777412415
a7,A* ACO,191.0,0.25473594665527344,320.52862906455994
a8,A* ACO,201.0,0.33011388778686523,240.95430302619934
